Id,Age,BirthId,FirstName,Height,LastName,Name,Nationality,Number,Photo,Position,TeamId
430091,18,,"",,"","I. Dorgu","",40,https://media.api-sports.io/football/players/430091.png,Attacker,495
430734,18,,"",,"","Y. Konak","",26,https://media.api-sports.io/football/players/430734.png,Midfielder,55
430816,19,,"",,"","N. Edjouma","",35,https://media.api-sports.io/football/players/430816.png,Attacker,96
431887,21,,"",,"","E. van Ee","",21,https://media.api-sports.io/football/players/431887.png,Midfielder,210
431890,20,,"",,"","Juan Herzog","",28,https://media.api-sports.io/football/players/431890.png,Defender,534
431914,18,,"",,"","Jonathan Akaegbobi","",37,https://media.api-sports.io/football/players/431914.png,Attacker,161
431921,18,,"",,"","Adam Aznou Ben Cheikh","",49,https://media.api-sports.io/football/players/431921.png,Defender,157
431946,18,,"",,"","Bennit Bröger","",38,https://media.api-sports.io/football/players/431946.png,Midfielder,161
432057,19,,"",,"","M. Anas","",61,https://media.api-sports.io/football/players/432057.png,Attacker,523
432476,18,,"",,"","V. Krapyvtsov","",,https://media.api-sports.io/football/players/432476.png,Goalkeeper,547
433395,19,,"",,"","Álvaro Cortés Moyano","",43,https://media.api-sports.io/football/players/433395.png,Defender,529
433396,17,,"",,"","Marc Bernal","",28,https://media.api-sports.io/football/players/433396.png,Midfielder,529
433623,20,,"",,"","L. Mol","",28,https://media.api-sports.io/football/players/433623.png,Defender,203
434028,19,,"",,"","N. Verschuren","",42,https://media.api-sports.io/football/players/434028.png,Defender,194
434180,17,,"",,"","Aidan Borland","",54,https://media.api-sports.io/football/players/434180.png,Midfielder,66
434204,19,,"",,"","M. Dors","",40,https://media.api-sports.io/football/players/434204.png,Midfielder,419
435086,17,,"",,"","T. Neininger","",44,https://media.api-sports.io/football/players/435086.png,Defender,161
435089,17,,"",,"","Leon Klanac","",,https://media.api-sports.io/football/players/435089.png,Goalkeeper,157
435552,19,,"",,"","Pau Navarro","",26,https://media.api-sports.io/football/players/435552.png,Defender,533
436193,18,,"",,"","S. Fernandes","",19,https://media.api-sports.io/football/players/436193.png,Attacker,203
436249,19,,"",,"","L. Di Tommaso","",53,https://media.api-sports.io/football/players/436249.png,Midfielder,487
436251,19,,"",,"","P. Comi","",40,https://media.api-sports.io/football/players/436251.png,Defender,499
436260,16,,"",,"","F. Camarda","",73,https://media.api-sports.io/football/players/436260.png,Attacker,489
436263,19,,"",,"","Mike Aidoo","",50,https://media.api-sports.io/football/players/436263.png,Defender,505
436443,17,,"",,"","J. Kusi-Asare","",41,https://media.api-sports.io/football/players/436443.png,Attacker,157
436925,18,,"",,"","Javier Gil","",41,https://media.api-sports.io/football/players/436925.png,Defender,496
436927,19,,"",,"","A. Owusu","",43,https://media.api-sports.io/football/players/436927.png,Midfielder,496
437088,18,,"",,"","T. Gabellini","",86,https://media.api-sports.io/football/players/437088.png,Attacker,503
437089,19,,"",,"","M. Dalla Vecchia","",84,https://media.api-sports.io/football/players/437089.png,Midfielder,503
437091,20,,"",,"","C. Papadopoulos","",45,https://media.api-sports.io/football/players/437091.png,Midfielder,496
437095,18,,"",,"","T. Rubino","",66,https://media.api-sports.io/football/players/437095.png,Midfielder,502
437099,18,,"",,"","Renato Bellucci","",89,https://media.api-sports.io/football/players/437099.png,Goalkeeper,497
